ID,DOB,SSN,Zip,Age,Workclass,fnlwgt
44d4b0e4,8/11/2006,662-32-0909,20061,30,Federal-gov,59951
25c2ea49,4/8/1987,132-55-8586,20149,22,State-gov,311512
dc0fc23b,7/27/1970,258-66-6115,28032,48,Private,242406
0235a197,11/2/1993,715-75-9668,41136,21,Private,197200
cdf96348,12/23/1985,862-26-5489,93276,19,Private,544091
842115f4,12/6/1951,171-82-0984,58492,31,Private,84154
d40599ef,10/25/1954,602-74-4118,14378,48,Self-emp-not-inc,265477
cde0a5bf,10/14/1984,308-62-8879,82327,31,Private,507875
1365adf4,1/22/1983,439-28-9935,95683,53,Self-emp-not-inc,88506
10a73578,6/12/2003,380-78-1227,18173,24,Private,172987
63be701e,10/2/1953,412-32-2882,75680,49,Private,94638
6fd47eaf,2/25/2005,352-78-8199,6217,25,Private,289980
d8903f5e,8/21/1986,272-03-9824,74972,57,Federal-gov,337895
c6614888,10/11/1996,115-43-9351,80887,53,Private,144361
5640ef27,9/28/1974,609-42-1751,17524,44,Private,128354
1c3a5d3a,4/19/1955,365-66-5026,53662,41,State-gov,101603
86105f87,10/19/2011,748-77-7857,56298,29,Private,271466
c91b5e41,6/15/1988,177-67-9642,42814,25,Private,32275
eeea49aa,10/11/1961,479-90-2494,61843,18,Private,226956
95c52231,6/3/1971,534-46-2609,90260,47,Private,51835
8dd5aa85,10/5/1999,884-12-2409,74955,50,Federal-gov,251585
cfc54770,12/18/1973,492-53-6924,9825,47,Self-emp-inc,109832
8c64c9ca,11/5/2009,465-45-0129,96085,43,Private,237993
e8530374,11/27/1957,528-32-0498,70747,46,Private,216666
93ad9424,2/7/1987,233-37-3234,78345,35,Private,56352
e77289e1,2/16/1956,136-92-3568,49792,41,Private,147372
7836ac2d,12/29/1978,692-85-3206,43800,30,Private,188146
55dece37,3/21/1975,565-95-8300,54588,30,Private,59496
da839020,10/14/1972,412-24-3430,21928,32,,293936
3048e11b,9/23/1983,789-15-5786,16447,48,Private,149640
ea266313,4/12/1970,607-06-4756,28084,42,Private,116632
d4edd8f6,8/25/1986,855-03-5568,7741,29,Private,105598
b3e87605,10/13/2003,352-03-1627,34450,36,Private,155537
00d78ba3,9/8/1954,116-42-9454,63607,28,Private,183175
a7705f4d,3/26/1952,354-28-4778,57844,53,Private,169846
c7f18c20,6/29/2003,202-54-6417,15575,49,Self-emp-inc,191681
60b1e856,11/15/1970,308-58-7125,99602,25,,200681
b234f3f1,3/20/1974,348-13-3020,42877,19,Private,101509
8a8469c9,3/8/1967,407-21-9891,4228,31,Private,309974
3543849c,2/26/2007,894-56-3343,59245,29,Self-emp-not-inc,162298
f10b0707,2/16/1960,817-93-8996,36400,23,Private,211678
15e5861e,1/8/1982,137-25-1899,36303,79,Private,124744
ab5088c3,6/24/1999,575-55-1718,10728,27,Private,213921
39122c7d,10/23/1985,401-24-4634,41704,40,Private,32214
c549c6e7,1/15/1970,780-08-6368,3864,67,,212759
631f8d74,7/10/1954,193-77-0902,20053,18,Private,309634
a40386aa,9/3/2000,806-93-6560,93338,31,Local-gov,125927
39b5d299,2/24/1956,260-79-1363,41953,18,Private,446839
80eccefa,11/30/2010,721-66-8737,69166,52,Private,276515
5bd2683d,10/27/2001,260-62-1962,51962,46,Private,51618
5a998cfd,10/15/1965,382-89-2144,69786,59,Private,159937
15d95f66,1/7/1963,740-10-8618,21742,44,Private,343591
2d6a0702,6/16/1980,890-28-6134,78233,53,Private,346253
45d0321f,10/15/1975,152-84-6645,17853,49,Local-gov,268234
f6787847,2/7/1960,851-67-7774,47070,33,Private,202051
d2db0a74,6/2/1961,587-11-3746,22875,30,Private,54334
2ad6eb53,8/1/1965,701-55-6252,87299,43,Federal-gov,410867
05095906,6/20/1968,172-85-0404,25617,57,Private,249977
d7572607,6/20/2003,791-91-4122,76143,37,Private,286730
bbde2196,10/26/1955,789-47-5235,6503,28,Private,212563
75cafb5a,11/19/1961,556-55-2624,29246,30,Private,117747
078aa387,8/16/1988,667-72-9887,23629,34,Local-gov,226296
8e393efb,5/24/1984,827-54-2200,89420,29,Local-gov,115585
2c3b282f,2/25/1952,464-47-6045,45761,48,Self-emp-not-inc,191277
edfcbeca,12/15/1992,689-95-5941,79098,37,Private,202683
a9e0117e,2/25/1989,296-78-7145,69695,48,Private,171095
e265d2c2,11/2/2010,831-77-2386,7473,32,Federal-gov,249409
94caff31,8/13/1973,632-57-2869,47987,76,Private,124191
c81b06fc,4/1/1988,804-73-8338,61696,44,Private,198282
4ec9cbb6,8/5/1972,421-22-2083,82887,47,Self-emp-not-inc,149116
028ef897,4/10/1951,525-93-2970,65370,20,Private,188300
66db7d28,11/3/1991,580-08-0988,21946,29,Private,103432
bb9d5ff2,9/17/1964,272-48-6416,76195,32,Self-emp-inc,317660
14158f2c,5/22/2005,296-76-3644,67319,17,,304873
e94bba46,10/21/1976,646-64-7150,43233,30,Private,194901
dcef9ae9,7/10/1979,717-59-8236,73447,31,Local-gov,189265
ff742a34,4/21/1986,546-39-3020,70647,42,Private,124692
012aabdb,10/22/1992,471-93-7307,18243,24,Private,432376
20b52aba,3/29/1972,820-64-2034,9902,38,Private,65324
40197ddb,3/5/1961,446-17-6535,52680,56,Self-emp-not-inc,335605
bbae5769,9/10/1997,277-62-0140,96014,28,Private,377869
c36c5236,6/8/1954,586-42-6950,66749,36,Private,102864
6b2fc34a,2/13/1954,116-77-0949,92687,53,Private,95647
a6570bde,12/12/1987,844-28-5903,96857,56,Self-emp-inc,303090
609f5248,4/5/2010,122-68-7177,21569,49,Local-gov,197371
317c89c2,4/9/2005,567-67-3819,34093,55,Private,247552
08895ed4,5/27/1964,466-50-8862,70644,22,Private,102632
a8006f55,4/23/2001,535-66-6978,11223,21,Private,199915
4863da1c,3/4/1987,755-25-8853,33754,40,Private,118853
d091c30e,7/12/1956,548-89-5261,82340,30,Private,77143
3e596519,9/27/1960,396-82-2711,99050,29,State-gov,267989
8fda52a8,2/9/1994,288-59-1467,47434,19,Private,301606
2ccb6915,12/17/1988,506-36-1762,78588,47,Private,287828
f9426031,12/3/2001,648-41-9013,69542,20,Private,111697
6016e049,3/26/1999,825-87-1242,48024,31,Private,114937
9cdb1d9f,7/22/1983,291-44-4348,90907,35,,129305
493da64b,2/24/1984,246-86-9055,8577,39,Private,365739
9f4b5d02,8/2/1991,234-93-0102,95974,28,Private,69621
32bb6b43,1/15/1992,217-25-8863,22052,24,Private,43323
fc470d51,6/11/1952,248-93-1603,50463,38,Self-emp-not-inc,120985
ce24888e,1/23/1975,810-83-9788,71660,37,Private,254202
1fd4122c,7/5/2002,210-72-3881,64400,46,Private,146195
87011ea9,1/14/2008,433-57-3376,75436,38,Federal-gov,125933
6e6ba928,1/3/1980,373-55-1830,86543,43,Self-emp-not-inc,56920
251e621f,10/23/1978,562-98-2247,66375,27,Private,163127
99fed895,1/4/2006,431-13-8838,56405,20,Private,34310
280009e7,12/2/1957,564-98-6842,97236,49,Private,81973
8a750858,5/11/2004,334-24-0668,43448,61,Self-emp-inc,66614
d15df63a,2/24/1967,145-70-0386,7298,27,Private,232782
ad6cbd05,5/16/1956,788-61-1613,59397,19,Private,316868
a95eb7e2,7/26/1955,730-37-3808,23904,45,Private,196584
5b75c3bf,10/21/1977,710-46-3628,86067,70,Private,105376
70c2048a,10/16/1999,314-83-4662,54991,31,Private,185814
d77b886b,7/16/1969,734-63-7061,38526,22,Private,175374
30936376,8/10/2012,251-65-4668,61491,36,Private,108293
80a3678a,1/21/1972,512-89-4375,11420,64,Private,181232
43915357,2/22/1984,417-02-5152,53732,43,,174662
f384d7b3,2/25/1982,837-75-6896,72739,47,Local-gov,186009
daf27001,1/12/2007,160-36-7357,58301,34,Private,198183
daad92c3,3/12/2003,425-52-3206,53222,33,Private,163003
0e6c3cd8,12/3/1991,195-29-4957,16404,21,Private,296158
4720a831,1/24/2012,152-75-8293,20222,52,,252903
0a81e882,2/19/1978,590-10-5213,98926,48,Private,187715
daf45c23,1/4/1958,203-40-5328,90600,23,Private,214542
c7baa335,4/21/1983,103-24-4654,63643,71,Self-emp-not-inc,494223
ae3076dd,11/23/1964,716-03-5305,61919,29,Private,191535
b939cf96,4/9/1993,179-93-7906,46532,42,Private,228456
9c8767c0,3/5/2011,249-87-6079,91611,68,,38317
ac2ca2b9,8/7/1980,873-96-7454,43712,25,Private,252752
8403ed70,2/28/2003,674-87-2050,29078,44,Self-emp-inc,78374
8b2f8b85,8/7/1991,307-21-9664,57141,28,Private,88419
b9fe878f,7/10/1959,486-68-9387,75301,45,Self-emp-not-inc,201080
fa0c287b,11/12/2004,257-65-8601,96933,36,Private,207157
d19be66b,8/13/1983,470-53-4203,83031,39,Federal-gov,235485
4c48c9f2,2/5/1970,811-60-1489,62947,46,State-gov,102628
3c73c919,5/13/1962,715-83-7452,79860,18,Private,25828
eaf209f4,12/31/1955,404-58-9947,92315,66,Local-gov,54826
df88c896,2/1/2006,838-71-2031,36799,27,Private,124953
13b563f6,9/3/1986,579-86-7046,55377,28,State-gov,175325
9b7fd504,8/28/1987,447-96-3365,50658,51,Private,96062
11a2b4cf,2/28/1990,220-87-9504,81640,27,Private,428030
64919d03,8/7/1993,337-97-8331,55340,28,State-gov,149624
8687a16c,1/21/1975,655-50-6886,43947,27,Private,253814
b4ac51f4,12/7/1988,598-73-9198,3001,21,Private,312956
ab1dba43,7/23/1986,184-79-0373,93083,34,Private,483777
9c72b910,1/27/1987,636-58-3196,44388,18,Private,183930
d2b60068,2/16/2001,253-97-0049,28840,33,Private,37274
098702a6,2/5/2009,651-27-0595,4164,44,Local-gov,181344
95aaaf69,9/2/1993,761-17-4502,29614,43,Private,114580
3d1bb9c7,9/23/1991,138-52-5297,85656,30,Private,633742
717fbd83,2/4/2010,520-59-8640,80033,40,Private,286370
78c224c4,5/21/1961,779-19-6930,92857,37,Federal-gov,29054
20e4cbf3,2/3/1973,126-93-9741,64776,34,Private,304030
46a48b50,9/25/1963,269-03-7206,33401,41,Self-emp-not-inc,143129
87085758,9/15/1954,640-31-3904,71086,53,,135105
9250da1f,12/5/1999,765-18-7549,39954,31,Private,99928
ed021056,9/26/1970,749-01-5627,68001,58,State-gov,109567
b13d7c43,12/31/2010,464-58-7243,99455,38,Private,155222
b3ff51e7,11/20/2004,537-30-2946,6270,24,Private,159567
db30c4da,9/18/1981,704-36-8048,90425,41,Local-gov,523910
875f4f83,5/6/1997,729-09-3252,91579,47,Private,120939
876ede68,5/30/1957,308-48-3570,93026,41,Federal-gov,130760
bdb3d3bc,10/13/1970,590-82-2284,68065,23,Private,197387
d7dc2350,4/20/1967,582-96-9626,61060,36,Private,99374
0ab11bab,8/30/1970,125-75-2281,50189,40,Federal-gov,56795
c875e7f3,6/10/1978,707-54-3176,25325,35,Private,138992
f99573ff,6/5/1999,621-33-3317,82606,24,Self-emp-not-inc,32921
ee79b132,4/8/1960,350-70-5241,89461,26,Private,397317
8e470450,2/14/2010,231-92-1735,72777,19,,170653
461b2942,12/12/2006,363-99-5201,31603,51,Private,259323
7eab7fed,11/4/1968,134-28-1145,31687,42,Local-gov,254817
0394cf90,8/29/1956,445-87-7123,137,37,State-gov,48211
33c3659c,3/5/1951,808-58-7951,39479,18,Private,140164
9c5c7f47,3/26/2003,674-74-2099,34388,36,Private,128757
659e0528,9/10/1969,674-12-8193,27168,35,Private,36270
43a48c9b,12/9/1996,396-36-1354,56567,58,Self-emp-inc,210563
c3a640ec,4/2/2004,155-39-4874,12433,17,Private,65368
833e0543,4/18/1953,876-18-6512,14967,44,Local-gov,160943
5a45ed5b,7/9/1968,599-22-5789,83827,37,Private,208358
d3c96735,2/4/1982,145-06-2946,49733,35,Private,153790
d5f9f383,12/30/1980,790-48-9569,6862,60,Private,85815
7861d609,9/8/1958,148-65-7270,62062,54,Self-emp-inc,125417
fae98c32,12/6/1979,352-43-2623,73590,37,Private,635913
a27f98f4,8/14/1984,489-46-1488,79512,50,Private,313321
42ba3321,1/25/1956,546-93-4123,50988,38,Private,182609
d0f26496,12/26/1981,824-48-4178,3811,45,Private,109434
b669f57f,4/18/1970,608-89-3328,92896,25,Private,255004
6b687d10,12/8/2008,866-98-1034,65576,31,Private,197860
dea270ad,3/7/1991,126-12-4803,85282,64,,187656
491c496d,8/25/1955,369-28-0751,75071,90,Private,51744
85509d3c,9/19/1964,849-40-2828,51615,54,Private,176681
866bb2e3,8/16/2004,642-07-3073,45376,53,Local-gov,140359
8e0f8d01,12/6/1997,895-25-1490,35480,18,Private,243313
4abc72d4,6/11/2000,310-04-3601,9191,60,,24215
c32377da,12/8/1969,381-71-7409,93019,66,Self-emp-not-inc,167687
cbb40556,5/26/1966,679-48-0287,96174,75,Private,314209
fadc7316,3/19/1999,281-96-9164,55376,65,Private,176796
51c6cefb,3/9/2000,738-16-4063,18975,35,Private,538583
c2773fad,10/13/1954,488-69-2618,74235,41,Private,130408
a9ca15de,5/24/1973,871-96-1515,86550,25,Private,159732
3022d67b,5/22/1969,489-04-0684,49306,33,Private,110978
4a07c4a9,9/5/1957,228-27-7877,59573,28,Private,76714
548c31d4,3/13/2008,605-41-2519,70649,59,State-gov,268700
60b92709,8/20/1983,798-82-1662,38496,40,State-gov,170525
f394e723,4/26/1975,836-85-7638,38655,41,Private,180138
aafc579e,3/31/1959,394-37-1960,49491,38,Local-gov,115076
274e9284,7/10/1981,805-20-0068,97710,23,Private,115458
8845bdbd,12/12/1987,272-49-8030,79647,40,Private,347890
af211664,7/30/2007,260-28-0096,37423,41,Self-emp-not-inc,196001
d19489d4,5/1/1955,193-73-3533,36603,24,State-gov,273905
b148ef16,9/11/2003,620-45-1153,95870,20,,119156
71938d5c,9/29/1955,235-27-5171,21606,38,Private,179488
7c8acbed,3/31/1969,126-25-3350,78604,56,Private,203580
1e1c15ce,5/1/1960,623-64-1456,90148,58,Private,236596
e6a9cf21,9/17/1975,757-87-9383,61987,32,Private,183916
e6978200,9/20/1990,798-20-8640,40953,40,Private,207578
a01e3d57,6/28/1966,327-84-2840,4110,45,Private,153141
7b86a49d,12/16/1962,388-91-5750,93266,41,Private,112763
74f7e4c3,4/16/1960,289-77-9265,70899,42,Private,390781
1b945848,7/27/1983,347-52-7988,32825,59,Local-gov,171328
8784ac31,11/25/1980,413-55-2055,55391,19,Local-gov,27382
d196d71d,10/23/1968,425-70-4779,10778,58,Private,259014
bd13255e,11/22/1982,776-10-6171,2124,42,Self-emp-not-inc,303044
3864f67d,10/1/1954,564-67-0894,46443,20,Private,117789
292597fc,11/19/1950,629-59-2697,3187,32,Private,172579
b6a4873d,9/25/1980,357-96-2599,35416,45,Private,187666
6918db8c,6/17/1961,259-61-2927,26786,50,Private,204518
435ef946,11/22/1972,294-08-5754,98291,36,Private,150042
8a8d7251,7/5/1993,863-05-5621,41474,45,Private,98092
64e096b0,11/20/1975,328-53-6675,67332,17,Private,245918
afd4aad8,12/7/2005,705-61-4821,676,59,Private,146013
de48f077,12/4/1993,677-02-1614,92475,26,Private,378322
b094c0b2,9/11/1983,453-01-6150,69315,37,Self-emp-inc,257295
3d6460a5,3/2/1972,309-18-3679,84146,19,,218956
9a5a5e76,11/2/1979,707-34-7812,49923,64,Private,21174
21ffb6d5,5/29/1954,713-40-7156,14411,33,Private,185480
e89785ac,4/15/1988,463-01-3069,65984,33,Private,222205
df5f8910,4/5/2005,452-95-7856,82963,61,Private,69867
fd5fdaf9,7/18/1991,800-80-1147,5677,17,Private,191260
8127845e,9/11/1986,405-20-6824,41074,50,Self-emp-not-inc,30653
baee0c08,3/22/1986,637-15-4232,41363,27,Local-gov,209109
29282818,7/24/2008,800-93-3351,12541,30,Private,70377
cf699ba8,9/22/1964,412-28-6624,94728,43,Private,477983
4ef1db4a,12/14/1996,302-38-7817,82669,44,Private,170924
aab96294,5/31/1999,454-17-9603,17810,35,Private,190174
162a8cca,1/11/1994,645-69-5492,3105,25,Private,193787
05b53333,5/8/1979,662-10-9634,90042,24,Private,279472
6b9bd3dd,3/13/1983,886-19-8474,70124,22,Private,34918
1749627b,5/9/1953,577-06-3200,63325,42,Local-gov,97688
946aa2d4,2/6/1978,324-54-6398,4228,34,Private,175413
fbe70647,8/1/2009,620-38-0312,12501,60,Private,173960
df0485c7,7/12/2008,581-74-1785,87654,21,Private,205759
fe9a243c,1/1/1970,524-93-5313,65432,57,Federal-gov,425161
35ca39b6,8/28/1984,274-63-7476,67648,41,Private,220531
b1a3e0f9,2/10/1956,781-71-6151,9341,50,Private,176609
62e5d0ba,4/9/1974,681-24-8848,95701,25,Private,371987
521bd3a4,2/17/1981,701-53-2003,88500,50,Private,193884
67cac690,6/8/1997,136-95-5715,96639,36,Private,200352
562c2db8,12/15/1981,672-54-0351,26434,31,Private,127595
9b9fbc9f,7/8/2007,130-09-2273,93084,29,Local-gov,220419
bc24105b,3/7/1979,172-01-4098,39943,21,Private,231931
d25ce6c5,5/7/2009,249-59-8940,50122,27,Private,248402
def7c409,7/9/1990,844-75-2938,70448,65,Private,111095
b8202b43,7/25/1995,618-81-4333,90226,37,Self-emp-inc,57424
a37d0bc0,2/4/1967,801-18-0169,40552,39,,157443
0880fd27,10/23/1996,553-80-7796,93153,24,Private,278130
51a07626,3/30/1951,504-03-1724,68496,38,Private,169469
bbf42896,10/13/1983,497-37-9432,22079,48,Private,146268
1299adfa,3/31/1991,565-45-2662,61343,21,Private,153718
25421d68,11/18/1985,737-79-6658,26452,31,Private,217460
aa427678,10/9/1997,621-43-1154,96479,55,Private,238638
9de25866,4/27/1973,617-47-3669,86857,24,Private,303296
93539fe6,11/9/1957,191-36-1573,31369,43,Private,173321
91216c25,6/1/1952,313-97-4625,10867,26,Private,193945
03b91141,2/4/2010,683-46-7581,15163,46,Private,83082
6a4262e5,12/13/1989,416-15-5464,85655,35,Private,193815
d8c98d25,1/13/1965,224-30-2180,30139,41,Self-emp-inc,34987
7a9e5519,10/12/2000,560-72-2039,66977,26,Private,59306
4869497b,12/17/2007,102-15-2508,26497,34,Private,142897
3abc682a,6/21/1953,634-88-7274,1261,19,,860348
b7827363,2/5/1978,848-60-7677,11084,36,Self-emp-not-inc,205607
ea8c7e61,3/19/2003,136-15-6575,79702,22,Private,199698
b81ba4f0,1/30/2003,476-48-1974,70742,24,Private,191954
d9018157,10/15/2006,581-37-3282,68574,77,Self-emp-not-inc,138714
a071a314,8/5/1989,707-34-2155,78358,22,Private,399087
dfe3b372,5/25/1989,486-52-3272,91429,29,Private,423158
067b9fcf,3/2/1981,867-55-6326,41946,62,Private,159841
2bd423ef,6/18/1965,439-57-7451,11146,39,Self-emp-not-inc,174308
0564ecf1,2/9/1981,591-83-7503,62771,43,Private,50356
b5c0299b,7/6/1957,447-60-0019,81728,35,Private,186110
a47b54d8,10/18/1982,543-95-0250,94948,29,Private,200381
486234d7,5/2/2011,345-68-9628,85165,76,Self-emp-not-inc,174309
4a8b2c12,9/10/2002,337-74-0215,61921,63,Self-emp-not-inc,78383
39ef8ab5,5/7/1987,218-42-2650,34506,23,,211601
cab1b0a3,2/6/2006,287-50-3697,78725,43,Private,187728
4245b341,5/4/1964,668-93-3466,4129,58,Self-emp-not-inc,321171
893f5c9b,1/4/2009,773-34-4881,20533,66,Private,127921
6b2081dc,10/18/2010,513-22-2202,58975,41,Private,206565
92a8d901,12/12/1968,226-12-0939,25991,26,Private,224563
32253206,4/21/1993,497-36-9750,88343,47,Private,178686
d1a4533e,4/30/2012,144-61-4499,97583,55,Local-gov,98545
453bb17f,7/10/1980,301-25-2517,83443,53,Private,242606
3407b2c8,1/19/1958,173-07-3604,80350,17,Private,270942
b0c900cc,5/18/1996,691-55-0743,72274,30,Private,94235
d3a1d149,9/4/1983,763-18-3044,59638,49,Private,71195
f7a61bed,7/27/2000,357-76-5912,33512,19,Private,104112
71f18cca,12/21/1989,492-42-2075,67064,45,Private,261192
e04c9150,4/19/2004,844-48-6933,43185,26,Private,94936
6d3fe08a,12/8/1955,121-09-9796,94982,38,Private,296478
f7767f39,6/7/1968,873-35-7379,86739,36,State-gov,119272
dfbb98d0,8/20/1987,195-74-7149,80207,33,Private,85043
5cf032c7,4/18/2007,652-22-5582,51630,22,State-gov,293364
533417d2,5/19/1974,193-59-0256,62069,43,Self-emp-not-inc,241895
86c36e21,1/31/1965,175-90-0685,28361,67,,36135
6b41e6f8,4/15/1959,362-83-4864,81564,30,,151989
dd34e77e,11/15/1991,607-25-2082,83640,56,Private,101128
58a1adf0,10/9/2005,897-73-4517,66526,31,Private,156464
dcc60799,10/27/1964,234-33-3582,62873,33,Private,117963
dab483ad,2/7/1994,328-46-5434,43014,26,Private,192262
a8600f9e,6/14/1983,407-32-5005,29227,33,Private,111363
455c478a,10/10/1997,274-23-1582,59234,46,Local-gov,329752
77a32dea,4/14/1998,725-77-0435,27132,59,,372020
9e9d3cb2,2/11/1981,748-68-0731,25816,38,Federal-gov,95432
4e497c1c,8/14/1990,182-34-7235,57712,65,Private,161400
775b4262,6/3/1996,206-35-4906,79680,40,Private,96129
7e7d6289,1/21/2001,186-68-1211,58185,42,Private,111949
0d851772,2/13/2012,675-82-3978,41110,26,Self-emp-not-inc,117125
c9bb3252,1/27/1956,552-80-8238,64368,36,Private,348022
7a3b6c0e,4/13/2004,778-69-5491,97683,62,Private,270092
781a9d30,6/23/1966,404-88-3854,3917,43,Private,180609
df47e109,8/28/1976,764-42-0346,5507,43,Private,174575
fa3d9cc4,4/27/1981,287-49-0539,84020,22,Private,410439
44fcbcf8,10/21/1953,688-74-1182,91834,28,Private,92262
8c76d147,2/4/2004,843-07-9504,4498,56,Self-emp-not-inc,183081
8a1d2038,6/7/1998,100-30-2779,86351,22,Private,362589
f9109485,11/26/1986,541-58-8311,73336,57,Private,212448
a26ade11,5/15/1960,870-10-6277,26021,39,Private,481060
816583cc,8/15/2000,120-47-0971,63523,26,Federal-gov,185885
85380867,2/7/1962,885-47-9605,13627,17,Private,89821
e5b01bdd,1/2/2008,804-99-3057,61313,40,State-gov,184018
ac076e63,6/8/1959,752-27-0675,82849,45,Private,256649
c5f1d327,3/25/1988,456-52-0101,4992,44,Private,160323
de75dbe4,2/20/1977,396-28-0788,79800,20,Local-gov,350845
ebcb9f98,8/30/1978,133-97-2887,55140,33,Private,267404
ad5b72e7,3/10/1968,459-22-7052,89386,23,Private,35633
46107b94,1/23/2008,368-70-2979,82512,46,Self-emp-not-inc,80914
d772bfc5,12/26/1999,546-26-2202,94194,38,Private,172927
12880d29,5/13/1969,466-80-4363,7848,54,Private,174319
2a6fcc37,4/30/1999,493-24-1958,77546,46,Private,214955
ac36e112,10/15/1988,517-33-9650,17269,25,Private,344991
de29f731,8/12/1975,150-17-1726,31734,46,Private,108699
bb3747b8,10/12/1982,405-04-4648,1202,36,Local-gov,117312
7020f8d6,7/1/1992,891-99-4479,96425,23,Private,396099
46343808,12/18/2003,166-86-3570,37102,29,Private,134152
ae88041f,2/10/2011,815-49-5500,72664,44,Private,162028
48784b10,2/2/1969,568-10-0162,94741,19,Private,25429
217817db,11/1/1991,180-39-0987,28528,19,Private,232392
7d4fbcb5,3/6/1975,745-50-6914,54182,35,Private,220098
49883e92,6/1/1978,620-27-9566,37027,27,Private,301302
358d0002,4/30/1954,252-62-6878,18574,46,Self-emp-not-inc,277946
f14fd138,11/17/1965,236-37-8057,56235,34,State-gov,98101
9f373317,9/13/1961,756-64-4566,42425,34,Private,196164
0c9ab55f,6/25/2005,302-64-6564,16369,44,Private,115562
92d92bcc,5/17/1964,461-09-8068,14823,45,Private,96975
226c700b,3/21/1995,581-21-2037,36727,20,,137300
49cf163f,6/10/2001,531-15-3303,42960,25,Private,86872
afa0aadc,12/10/2011,486-35-6895,14683,52,Self-emp-inc,132178
1aa0e998,6/8/1954,482-20-2625,79031,20,Private,416103
a24a6fdc,4/20/1958,218-44-9220,160,28,Private,108574
79865746,12/14/1998,434-40-4735,10856,50,State-gov,288353
677ec70e,10/18/1956,453-29-4456,3306,34,Private,227689
aca08a7e,10/10/2001,272-58-0289,45922,28,Private,166481
48fcd465,4/13/1997,299-32-4630,94604,41,Private,445382
73928e6e,9/1/1956,500-30-5034,22553,28,Private,110145
74bcd4c7,7/30/2008,314-08-7490,44521,46,Self-emp-not-inc,317253
ba70ddaf,3/8/2012,802-97-1140,24520,28,,123147
15972264,11/9/2000,367-30-3583,62668,32,Private,364657
6096d66b,8/24/2000,523-71-1505,59722,41,Local-gov,42346
05e86e4e,8/1/1994,876-42-2890,89577,24,Private,241951
7b4b11b9,2/10/2002,518-67-8361,95225,33,Private,118500
246f9092,3/9/1990,138-80-8549,86002,46,Private,188386
0be8f9f8,6/5/1961,103-79-8992,65787,31,State-gov,1033222
ad18408d,8/30/1958,257-49-3344,85303,35,Private,92440
355ac244,1/23/2004,798-05-0857,2496,52,Private,190762
7956cccd,11/1/1961,292-97-9445,8146,30,Private,426017
7623f6c4,4/19/1991,600-43-9739,67116,34,Local-gov,243867
40a9439a,7/9/2011,704-91-9306,1396,34,State-gov,240283
2afbf2e5,4/5/2000,173-25-4355,45942,20,Private,61777
0e890d83,9/29/2002,287-46-1645,15213,17,Private,175024
641901dd,10/2/1992,716-70-8839,96290,32,State-gov,92003
9b0f668e,5/18/1973,508-17-5856,16455,29,Private,188401
c2850ba1,10/28/1950,443-08-0027,3209,33,Private,228528
b1bcac77,6/5/1984,752-92-3158,71923,25,Private,133373
0985b176,3/22/2010,210-76-7970,31790,36,Federal-gov,255191
baabd3fb,4/5/1954,772-80-5726,2737,23,Private,204653
