ID,DOB,SSN,Zip,Age,Workclass,fnlwgt,Education,Education-Num,Marital Status,Occupation,Relationship,Race
18967437,8/2/1970,570-73-0139,53155,40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White
46523854,9/28/1964,189-87-7998,3691,54,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black
9bf353e1,8/10/2012,668-43-2767,92617,35,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black
f82aefb9,7/18/1960,557-99-3930,55466,43,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White
eb414a51,11/3/1960,216-09-1548,32737,59,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White
f9aeb360,2/22/1960,242-47-2508,58986,56,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White
a9a06b88,1/24/1989,868-85-7038,91102,19,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White
a75790f6,6/18/1952,338-12-9081,8598,54,,180211,Some-college,10,Married-civ-spouse,,Husband,Asian-Pac-Islander
64be7364,6/23/1987,288-49-7728,91341,39,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White
1f429987,6/15/1951,297-29-2796,54807,49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
6c6ae1ef,7/15/1964,813-56-5466,93239,23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White
ac8cce06,2/17/1953,288-31-8670,65932,20,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black
94192157,1/9/2009,890-14-4832,9717,45,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White
11889458,8/11/2006,662-32-0909,20061,30,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White
f08c8b37,4/8/1987,132-55-8586,20149,22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black
8c16da0d,7/27/1970,258-66-6115,28032,48,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White
1ad2926b,11/2/1993,715-75-9668,41136,21,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White
2afd37d3,12/23/1985,862-26-5489,93276,19,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White
4564820d,12/6/1951,171-82-0984,58492,31,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White
61d7a977,10/25/1954,602-74-4118,14378,48,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White
dac90ff9,10/14/1984,308-62-8879,82327,31,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White
17148e58,1/22/1983,439-28-9935,95683,53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White
c1d6e072,6/12/2003,380-78-1227,18173,24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White
d60bc1d7,10/2/1953,412-32-2882,75680,49,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White
c63d4670,2/25/2005,352-78-8199,6217,25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White
6a1c8d20,8/21/1986,272-03-9824,74972,57,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black
894e0318,10/11/1996,115-43-9351,80887,53,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White
4626e677,9/28/1974,609-42-1751,17524,44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White
e4964e80,4/19/1955,365-66-5026,53662,41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White
817953b2,10/19/2011,748-77-7857,56298,29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White
3f23d1ee,6/15/1988,177-67-9642,42814,25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other
399bb6f9,10/11/1961,479-90-2494,61843,18,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White
9c06f32a,6/3/1971,534-46-2609,90260,47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White
12450e26,10/5/1999,884-12-2409,74955,50,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White
6bc77151,12/18/1973,492-53-6924,9825,47,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White
41a218fe,11/5/2009,465-45-0129,96085,43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White
5cddac78,11/27/1957,528-32-0498,70747,46,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White
ecc6f218,2/7/1987,233-37-3234,78345,35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White
060fa75b,2/16/1956,136-92-3568,49792,41,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White
bdd73d7c,12/29/1978,692-85-3206,43800,30,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White
07e35309,3/21/1975,565-95-8300,54588,30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White
34fe387f,10/14/1972,412-24-3430,21928,32,,293936,7th-8th,4,Married-spouse-absent,,Not-in-family,White
4637cfe1,9/23/1983,789-15-5786,16447,48,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White
700a0bd4,4/12/1970,607-06-4756,28084,42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White
21c2fd1e,8/25/1986,855-03-5568,7741,29,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White
62bb46bd,10/13/2003,352-03-1627,34450,36,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
89ed06fa,9/8/1954,116-42-9454,63607,28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White
e1f313ba,3/26/1952,354-28-4778,57844,53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White
f8c6c400,6/29/2003,202-54-6417,15575,49,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White
867d46ea,11/15/1970,308-58-7125,99602,25,,200681,Some-college,10,Never-married,,Own-child,White
7b481aa2,3/20/1974,348-13-3020,42877,19,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White
fb5f6265,3/8/1967,407-21-9891,4228,31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black
a4becc3d,2/26/2007,894-56-3343,59245,29,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White
6a00b720,2/16/1960,817-93-8996,36400,23,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White
837a4b0e,1/8/1982,137-25-1899,36303,79,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White
ed74de77,6/24/1999,575-55-1718,10728,27,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White
ec2a7380,10/23/1985,401-24-4634,41704,40,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White
6e786915,1/15/1970,780-08-6368,3864,67,,212759,10th,6,Married-civ-spouse,,Husband,White
60595ebf,7/10/1954,193-77-0902,20053,18,Private,309634,11th,7,Never-married,Other-service,Own-child,White
fbfb254a,9/3/2000,806-93-6560,93338,31,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White
e5ff7c28,2/24/1956,260-79-1363,41953,18,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White
16d82d31,11/30/2010,721-66-8737,69166,52,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White
93d740b7,10/27/2001,260-62-1962,51962,46,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White
9be87441,10/15/1965,382-89-2144,69786,59,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White
9afda399,1/7/1963,740-10-8618,21742,44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White
f005392d,6/16/1980,890-28-6134,78233,53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White
a7a85165,10/15/1975,152-84-6645,17853,49,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White
cf8a70fd,2/7/1960,851-67-7774,47070,33,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White
c4437f79,6/2/1961,587-11-3746,22875,30,Private,54334,9th,5,Never-married,Sales,Not-in-family,White
fa6c9cb7,8/1/1965,701-55-6252,87299,43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White
ac86a84f,6/20/1968,172-85-0404,25617,57,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White
a4d250ef,6/20/2003,791-91-4122,76143,37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White
c0fdec9e,10/26/1955,789-47-5235,6503,28,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black
0d073d72,11/19/1961,556-55-2624,29246,30,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander
4c588385,8/16/1988,667-72-9887,23629,34,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White
50d1f5cd,5/24/1984,827-54-2200,89420,29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White
6c9e6392,2/25/1952,464-47-6045,45761,48,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White
c24966a5,12/15/1992,689-95-5941,79098,37,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White
5ec99555,2/25/1989,296-78-7145,69695,48,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White
b6d3e777,11/2/2010,831-77-2386,7473,32,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black
2f50c4b8,8/13/1973,632-57-2869,47987,76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White
49bc149b,4/1/1988,804-73-8338,61696,44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White
55332bb3,8/5/1972,421-22-2083,82887,47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White
3d927178,4/10/1951,525-93-2970,65370,20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White
dcf642a1,11/3/1991,580-08-0988,21946,29,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White
849521e4,9/17/1964,272-48-6416,76195,32,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
89449769,5/22/2005,296-76-3644,67319,17,,304873,10th,6,Never-married,,Own-child,White
41e74faf,10/21/1976,646-64-7150,43233,30,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White
01039eef,7/10/1979,717-59-8236,73447,31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White
50e8db11,4/21/1986,546-39-3020,70647,42,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White
7cd21699,10/22/1992,471-93-7307,18243,24,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White
b20f485c,3/29/1972,820-64-2034,9902,38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White
a571f94c,3/5/1961,446-17-6535,52680,56,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White
9c728159,9/10/1997,277-62-0140,96014,28,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White
681d7086,6/8/1954,586-42-6950,66749,36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White
a61c6c9e,2/13/1954,116-77-0949,92687,53,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White
9f2a31e6,12/12/1987,844-28-5903,96857,56,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White
492a2411,4/5/2010,122-68-7177,21569,49,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black
47530dbe,4/9/2005,567-67-3819,34093,55,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White
41caf69d,5/27/1964,466-50-8862,70644,22,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White
f94c6ee9,4/23/2001,535-66-6978,11223,21,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White
bdfdfb91,3/4/1987,755-25-8853,33754,40,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White
91b4e2e0,7/12/1956,548-89-5261,82340,30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black
2dbcdab0,9/27/1960,396-82-2711,99050,29,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White
437fb4ea,2/9/1994,288-59-1467,47434,19,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black
5ac7f5aa,12/17/1988,506-36-1762,78588,47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White
39b5ce94,12/3/2001,648-41-9013,69542,20,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White
691c6bce,3/26/1999,825-87-1242,48024,31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White
80dc8f55,7/22/1983,291-44-4348,90907,35,,129305,HS-grad,9,Married-civ-spouse,,Husband,White
cf8c19a9,2/24/1984,246-86-9055,8577,39,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White
e54adbc5,8/2/1991,234-93-0102,95974,28,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White
8e275902,1/15/1992,217-25-8863,22052,24,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White
f9386406,6/11/1952,248-93-1603,50463,38,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
84dbbce6,1/23/1975,810-83-9788,71660,37,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White
c18577e7,7/5/2002,210-72-3881,64400,46,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black
2a7fdf63,1/14/2008,433-57-3376,75436,38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White
a6a1684a,1/3/1980,373-55-1830,86543,43,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
7270e104,10/23/1978,562-98-2247,66375,27,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White
7267e344,1/4/2006,431-13-8838,56405,20,Private,34310,Some-college,10,Never-married,Sales,Own-child,White
892c71ca,12/2/1957,564-98-6842,97236,49,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander
7802b62c,5/11/2004,334-24-0668,43448,61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
5d6fbe58,2/24/1967,145-70-0386,7298,27,Private,232782,Some-college,10,Never-married,Sales,Own-child,White
f25ad35d,5/16/1956,788-61-1613,59397,19,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White
9187af0e,7/26/1955,730-37-3808,23904,45,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White
3770b86d,10/21/1977,710-46-3628,86067,70,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White
c43c4ef0,10/16/1999,314-83-4662,54991,31,Private,185814,HS-grad,9,Never-married,Transport-moving,Unmarried,Black
6adc7a2b,7/16/1969,734-63-7061,38526,22,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White
f1083442,8/10/2012,251-65-4668,61491,36,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White
1dcc6531,1/21/1972,512-89-4375,11420,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White
0f08c867,2/22/1984,417-02-5152,53732,43,,174662,Some-college,10,Divorced,,Not-in-family,White
1983d98e,2/25/1982,837-75-6896,72739,47,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White
155661bc,1/12/2007,160-36-7357,58301,34,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White
d6389f89,3/12/2003,425-52-3206,53222,33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander
a1750f51,12/3/1991,195-29-4957,16404,21,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White
25c65bd9,1/24/2012,152-75-8293,20222,52,,252903,HS-grad,9,Divorced,,Not-in-family,White
8d880263,2/19/1978,590-10-5213,98926,48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
1bf883d5,1/4/1958,203-40-5328,90600,23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White
f1ce6613,4/21/1983,103-24-4654,63643,71,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black
97af0bd1,11/23/1964,716-03-5305,61919,29,Private,191535,HS-grad,9,Divorced,Craft-repair,Not-in-family,White
cb7d2ffe,4/9/1993,179-93-7906,46532,42,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black
7f21969b,3/5/2011,249-87-6079,91611,68,,38317,1st-4th,2,Divorced,,Not-in-family,White
f9e83aee,8/7/1980,873-96-7454,43712,25,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White
fba3d03f,2/28/2003,674-87-2050,29078,44,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander
de848f8e,8/7/1991,307-21-9664,57141,28,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander
935e92d3,7/10/1959,486-68-9387,75301,45,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White
87ee781c,11/12/2004,257-65-8601,96933,36,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White
674e5d7d,8/13/1983,470-53-4203,83031,39,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White
240cb7d5,2/5/1970,811-60-1489,62947,46,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White
beeddae7,5/13/1962,715-83-7452,79860,18,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White
0dbaa204,12/31/1955,404-58-9947,92315,66,Local-gov,54826,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White
74484115,2/1/2006,838-71-2031,36799,27,Private,124953,HS-grad,9,Never-married,Other-service,Not-in-family,White
6b9a11c2,9/3/1986,579-86-7046,55377,28,State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White
95b9b3d7,8/28/1987,447-96-3365,50658,51,Private,96062,Some-college,10,Married-civ-spouse,Sales,Husband,White
ef663a11,2/28/1990,220-87-9504,81640,27,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White
68641d7f,8/7/1993,337-97-8331,55340,28,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White
4b22641f,1/21/1975,655-50-6886,43947,27,Private,253814,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White
0355fa9a,12/7/1988,598-73-9198,3001,21,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black
fb286540,7/23/1986,184-79-0373,93083,34,Private,483777,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black
f81e6a2e,1/27/1987,636-58-3196,44388,18,Private,183930,HS-grad,9,Never-married,Other-service,Own-child,White
51ea97fe,2/16/2001,253-97-0049,28840,33,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White
57243fdd,2/5/2009,651-27-0595,4164,44,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black
a02b571b,9/2/1993,761-17-4502,29614,43,Private,114580,Some-college,10,Divorced,Adm-clerical,Not-in-family,White
4735ee74,9/23/1991,138-52-5297,85656,30,Private,633742,Some-college,10,Never-married,Craft-repair,Not-in-family,Black
e66fdffc,2/4/2010,520-59-8640,80033,40,Private,286370,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White
880256db,5/21/1961,779-19-6930,92857,37,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White
53bff705,2/3/1973,126-93-9741,64776,34,Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black
fe0a3c1e,9/25/1963,269-03-7206,33401,41,Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White
8563fd9a,9/15/1954,640-31-3904,71086,53,,135105,Bachelors,13,Divorced,,Not-in-family,White
8a9730f6,12/5/1999,765-18-7549,39954,31,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White
0178f905,9/26/1970,749-01-5627,68001,58,State-gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White
4770f4c4,12/31/2010,464-58-7243,99455,38,Private,155222,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black
b06e96c0,11/20/2004,537-30-2946,6270,24,Private,159567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White
b6ad0598,9/18/1981,704-36-8048,90425,41,Local-gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black
b93d57e7,5/6/1997,729-09-3252,91579,47,Private,120939,Some-college,10,Married-civ-spouse,Tech-support,Husband,White
727f754a,5/30/1957,308-48-3570,93026,41,Federal-gov,130760,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White
3fb711d7,10/13/1970,590-82-2284,68065,23,Private,197387,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White
cf40a947,4/20/1967,582-96-9626,61060,36,Private,99374,Some-college,10,Divorced,Craft-repair,Not-in-family,White
2287f72d,8/30/1970,125-75-2281,50189,40,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Not-in-family,White
f3661047,6/10/1978,707-54-3176,25325,35,Private,138992,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White
70e56129,6/5/1999,621-33-3317,82606,24,Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales,Not-in-family,White
2206de1c,4/8/1960,350-70-5241,89461,26,Private,397317,Masters,14,Never-married,Prof-specialty,Not-in-family,White
e5c7c7ac,2/14/2010,231-92-1735,72777,19,,170653,HS-grad,9,Never-married,,Own-child,White
cb97a029,12/12/2006,363-99-5201,31603,51,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White
15a7f6eb,11/4/1968,134-28-1145,31687,42,Local-gov,254817,Some-college,10,Never-married,Prof-specialty,Not-in-family,White
c1354ed7,8/29/1956,445-87-7123,137,37,State-gov,48211,HS-grad,9,Divorced,Adm-clerical,Unmarried,White
2720c85a,3/5/1951,808-58-7951,39479,18,Private,140164,11th,7,Never-married,Sales,Own-child,White
eccfca75,3/26/2003,674-74-2099,34388,36,Private,128757,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black
cde7b8ac,9/10/1969,674-12-8193,27168,35,Private,36270,HS-grad,9,Divorced,Craft-repair,Not-in-family,White
1fae8ff3,12/9/1996,396-36-1354,56567,58,Self-emp-inc,210563,HS-grad,9,Married-civ-spouse,Sales,Wife,White
657355f8,4/2/2004,155-39-4874,12433,17,Private,65368,11th,7,Never-married,Sales,Own-child,White
566a6e94,4/18/1953,876-18-6512,14967,44,Local-gov,160943,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black
13425c6d,7/9/1968,599-22-5789,83827,37,Private,208358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White
83370884,2/4/1982,145-06-2946,49733,35,Private,153790,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo
a6a63e9c,12/30/1980,790-48-9569,6862,60,Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander
c0fb292c,9/8/1958,148-65-7270,62062,54,Self-emp-inc,125417,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White
2dc69889,12/6/1979,352-43-2623,73590,37,Private,635913,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black
7da39056,8/14/1984,489-46-1488,79512,50,Private,313321,Assoc-acdm,12,Divorced,Sales,Not-in-family,White
afcfe8e8,1/25/1956,546-93-4123,50988,38,Private,182609,Bachelors,13,Married-civ-spouse,Sales,Husband,White
12a6f627,12/26/1981,824-48-4178,3811,45,Private,109434,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White
448da6b8,4/18/1970,608-89-3328,92896,25,Private,255004,10th,6,Never-married,Craft-repair,Not-in-family,White
bdcc34b1,12/8/2008,866-98-1034,65576,31,Private,197860,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White
60295e4d,3/7/1991,126-12-4803,85282,64,,187656,1st-4th,2,Divorced,,Not-in-family,White
6a29fd41,8/25/1955,369-28-0751,75071,90,Private,51744,HS-grad,9,Never-married,Other-service,Not-in-family,Black
